  Time (Seconds) , FPS , Current Stage 
1,,Scanning Environment
2,  58,Scanning Environment
3,  65,Scanning Environment
4,  61,Vuforia Tracking
5,  68,Vuforia Tracking
6,  62,Vuforia Tracking
7,  63,Vuforia Tracking
8,  63,Vuforia Tracking
9,  50,Robot Stabilized
10,  51,Robot Stabilized
11,  60,Robot Stabilized
12,  60,Robot Stabilized
13,  61,Robot Stabilized
14,  63,Robot Stabilized
15,  50,Robot Stabilized
16,  44,Robot Stabilized
17,  50,Robot Stabilized
18,  59,Start planning path
19,  60,Start planning path
20,  61,Start planning path
21,  60,Start planning path
22,  59,Start planning path
23,  59,Start planning path
24,  59,Start planning path
25,  61,Start planning path
26,  59,Start planning path
27,  61,Start planning path
28,  61,Start planning path
29,  61,Start planning path
30,  61,Start planning path
31,  60,Start planning path
32,  61,Start planning path
33,  62,Start planning path
34,  62,Start planning path
35,  56,Start planning path
36,  62,Start planning path
37,  60,Start planning path
38,  59,Start planning path
39,  61,Start planning path
40,  63,Start planning path
41,  61,Start planning path
42,  61,Start planning path
43,  60,Start planning path
44,  60,Start planning path
45,  50,Start planning path
46,  57,Start planning path
47,  62,Start planning path
48,  59,Start planning path
49,  60,Start planning path
50,  62,Start planning path
51,  60,Start planning path
52,  62,Start planning path
53,  67,Start planning path
54,  60,Start planning path
55,  61,Start planning path
56,  52,Start planning path
57,  55,Start planning path
58,  62,Start planning path
59,  59,Start planning path
60,  60,Start planning path
61,  51,Start planning path
62,  42,Start planning path
63,  51,Start planning path
64,  52,Start planning path
65,  53,Start planning path
66,  50,Start planning path
67,  60,Path end reached
68,  62,Path end reached
69,  65,Path end reached
70,  42,Path end reached
71,  42,Path end reached
72,  39,Path end reached
73,  46,Path end reached
74,  46,Path end reached
75,  52,Path end reached
76,  42,Path end reached
77,  48,Path end reached
78,  50,Path end reached
79,  45,Path end reached
80,  50,Path end reached
81,  60,Start executing path
82,  41,Start executing path
83,  44,Start executing path
84,  52,Start executing path
85,  60,Start executing path
86,  39,Start executing path
87,  42,Start executing path
88,  50,Start executing path
89,  44,Start executing path
90,  49,Path end reached
91,  49,Path end reached
92,  42,Path end reached
93,  42,Path end reached
94,  44,Path end reached
95,  42,Path end reached
96,  42,Path end reached
97,  49,Path end reached
98,  41,Path end reached
99,  40,Path end reached
100,  51,Path end reached
101,  42,Path end reached
102,  50,Path end reached
103,  52,Path end reached
104,  52,Path end reached
105,  50,Path end reached
106,  49,Path end reached
107,  62,Path end reached
108,  50,Path end reached
109,  56,Path end reached
110,  50,Path end reached
111,  51,Path end reached
112,  56,Path end reached
113,  50,Path end reached
114,  50,Path end reached
115,  61,Path end reached
116,  60,Path end reached
117,  49,Path end reached
118,  50,Path end reached
119,  51,Path end reached
120,  51,Path end reached
121,  44,Path end reached
122,  49,Path end reached
123,  53,Path end reached
124,  50,Path end reached
125,  48,Path end reached
126,  59,Path end reached
127,  49,Reset Environment
128,  49,Start planning path
129,  59,Start planning path
130,  60,Start planning path
131,  57,Start planning path
132,  60,Start planning path
133,  58,Start planning path
134,  59,Start planning path
135,  61,Start planning path
136,  59,Start planning path
137,  61,Start planning path
138,  59,Start planning path
139,  61,Start planning path
140,  60,Start planning path
141,  58,Start planning path
142,  66,Start planning path
143,  60,Start planning path
144,  61,Start planning path
145,  62,Start planning path
146,  59,Start planning path
147,  63,Start planning path
148,  60,Start planning path
149,  59,Start planning path
150,  60,Start planning path
151,  61,Start planning path
152,  56,Start planning path
153,  62,Start planning path
154,  62,Start planning path
155,  60,Start planning path
156,  59,Start planning path
157,  61,Start planning path
158,  58,Start planning path
159,  60,Start planning path
160,  49,Start planning path
161,  53,Start planning path
162,  58,Start planning path
163,  57,Start planning path
164,  41,Start planning path
165,  37,Start planning path
166,  53,Start planning path
167,  46,Start planning path
168,  48,Start planning path
169,  44,Start planning path
170,  39,Path end reached
171,  39,Path end reached
172,  47,Path end reached
173,  45,Path end reached
174,  53,Start executing path
175,  46,Start executing path
176,  52,Start executing path
177,  38,Start executing path
178,  44,Start executing path
179,  54,Start executing path
180,  43,Start executing path
181,  38,Path end reached
182,  39,Path end reached
183,  43,Path end reached
184,  46,Path end reached
185,  44,Path end reached
186,  52,Path end reached
187,  39,Path end reached
188,  42,Path end reached
189,  46,Path end reached
190,  52,Path end reached
191,  52,Path end reached
192,  40,Path end reached
193,  52,Path end reached
194,  43,Path end reached
195,  53,Path end reached
196,  55,Path end reached
197,  43,Path end reached
198,  45,Path end reached
199,  42,Path end reached
200,  52,Path end reached
201,  43,Path end reached
202,  54,Path end reached
203,  53,Path end reached
204,  42,Path end reached
205,  42,Path end reached
206,  49,Path end reached
207,  52,Path end reached
208,  49,Path end reached
209,  40,Path end reached
210,  42,Path end reached
211,  48,Path end reached
212,  50,Path end reached
213,  42,Path end reached
214,  49,Path end reached
215,  53,Reset Environment
216,  53,Start planning path
217,  61,Start planning path
218,  58,Start planning path
219,  59,Start planning path
220,  62,Start planning path
221,  59,Start planning path
222,  59,Start planning path
223,  58,Start planning path
224,  59,Start planning path
225,  61,Start planning path
226,  59,Start planning path
227,  59,Start planning path
228,  61,Start planning path
229,  60,Start planning path
230,  59,Start planning path
231,  61,Start planning path
232,  59,Start planning path
233,  60,Start planning path
234,  60,Start planning path
235,  58,Start planning path
236,  63,Start planning path
237,  60,Start planning path
238,  59,Start planning path
239,  58,Start planning path
240,  59,Start planning path
241,  63,Start planning path
242,  61,Start planning path
243,  58,Start planning path
244,  43,Start planning path
245,  52,Start planning path
246,  43,Start planning path
247,  39,Start planning path
248,  55,Start planning path
249,  44,Path end reached
250,  42,Path end reached
251,  50,Path end reached
252,  39,Start executing path
253,  42,Start executing path
254,  46,Start executing path
255,  42,Start executing path
256,  51,Start executing path
257,  50,Start executing path
258,  52,Start executing path
259,  45,Path end reached
260,  53,Path end reached
261,  49,Path end reached
262,  53,Path end reached
263,  56,Path end reached
264,  44,Path end reached
265,  50,Path end reached
266,  50,Path end reached
267,  52,Path end reached
268,  52,Path end reached
269,  51,Path end reached
270,  51,Path end reached
271,  55,Path end reached
272,  39,Path end reached
273,  45,Path end reached
274,  45,Path end reached
275,  39,Path end reached
276,  42,Path end reached
277,  54,Path end reached
278,  52,Path end reached
279,  45,Path end reached
280,  44,Path end reached
281,  45,Path end reached
282,  53,Path end reached
283,  48,Path end reached
284,  43,Path end reached
285,  45,Path end reached
286,  42,Path end reached
287,  42,Path end reached
288,  50,Path end reached
289,  45,Path end reached
290,  48,Path end reached
291,  53,Path end reached
292,  50,Path end reached
293,  54,Reset Environment
294,  46,Start planning path
295,  62,Start planning path
296,  60,Start planning path
297,  61,Start planning path
298,  61,Start planning path
299,  59,Start planning path
300,  60,Start planning path
301,  61,Start planning path
302,  60,Start planning path
303,  60,Start planning path
304,  59,Start planning path
305,  59,Start planning path
306,  60,Start planning path
307,  59,Start planning path
308,  59,Start planning path
309,  60,Start planning path
310,  60,Start planning path
311,  60,Start planning path
312,  62,Start planning path
313,  60,Start planning path
