  Time (Seconds) , FPS , Current Stage 
1,,Scanning Environment
2,  63,Scanning Environment
3,  64,Vuforia Tracking
4,  61,Vuforia Tracking
5,  53,Vuforia Tracking
6,  20,Vuforia Tracking
7,  60,Robot Stabilized
8,  59,Robot Stabilized
9,  59,Start planning path
10,  60,Start planning path
11,  59,Start planning path
12,  58,Start planning path
13,  59,Start planning path
14,  61,Start planning path
15,  53,Start planning path
16,  60,Start planning path
17,  58,Start planning path
18,  55,Start planning path
19,  60,Start planning path
20,  62,Start planning path
21,  60,Start planning path
22,  61,Start planning path
23,  59,Start planning path
24,  61,Start planning path
25,  46,Path end reached
26,  44,Start executing path
27,  45,Start executing path
28,  60,Start executing path
29,  62,Path end reached
30,  61,Path end reached
31,  57,Path end reached
32,  60,Path end reached
33,  60,Path end reached
34,  60,Path end reached
35,  59,Path end reached
36,  61,Path end reached
37,  60,Path end reached
38,  62,Path end reached
39,  60,Path end reached
40,  58,Path end reached
41,  59,Path end reached
42,  59,Path end reached
43,  60,Path end reached
44,  60,Path end reached
45,  61,Path end reached
46,  60,Path end reached
47,  60,Path end reached
48,  58,Path end reached
49,  65,Path end reached
50,  61,Path end reached
51,  61,Reset Environment
52,  62,Start planning path
53,  62,Start planning path
54,  60,Start planning path
55,  62,Start planning path
56,  59,Start planning path
57,  58,Start planning path
58,  61,Start planning path
59,  61,Start planning path
60,  58,Start planning path
61,  60,Start planning path
62,  60,Start planning path
63,  59,Start planning path
64,  61,Start planning path
65,  59,Start planning path
66,  60,Start planning path
67,  59,Start planning path
68,  62,Start planning path
69,  62,Start planning path
70,  60,Start planning path
71,  59,Start planning path
72,  60,Start planning path
73,  59,Start planning path
74,  60,Start planning path
75,  63,Start planning path
76,  59,Start planning path
77,  64,Start planning path
78,  61,Start planning path
79,  61,Start planning path
80,  60,Start planning path
81,  60,Start planning path
82,  59,Start planning path
83,  28,Start planning path
84,  61,Start planning path
85,  60,Start planning path
86,  62,Start planning path
87,  40,Start planning path
88,  61,Start planning path
89,  61,Start planning path
90,  63,Start planning path
91,  61,Start planning path
92,  63,Start planning path
93,  60,Start planning path
94,  60,Start planning path
95,  31,Start planning path
96,  60,Start planning path
97,  59,Start planning path
98,  51,Start planning path
99,  65,Start planning path
100,  60,Start planning path
101,  60,Start planning path
102,  62,Start planning path
103,  59,Start planning path
104,  58,Start planning path
105,  59,Start planning path
106,  61,Start planning path
107,  45,Start planning path
108,  42,Start planning path
109,  60,Start planning path
110,  61,Start planning path
111,  61,Start planning path
112,  59,Start planning path
113,  58,Start planning path
114,  64,Start planning path
115,  61,Start planning path
116,  57,Start planning path
117,  33,Start planning path
118,  59,Start planning path
119,  63,Start planning path
120,  52,Start planning path
121,  49,Start planning path
122,  52,Start planning path
123,  52,Start planning path
124,  51,Start planning path
125,  51,Start planning path
126,  57,Start planning path
127,  57,Start planning path
128,  58,Start planning path
129,  57,Start planning path
130,  62,Start planning path
131,  59,Start planning path
132,  60,Start planning path
133,  60,Start planning path
134,  60,Start planning path
135,  60,Start planning path
136,  59,Start planning path
137,  60,Start planning path
138,  60,Reset Environment
139,  61,Reset Environment
140,  60,Reset Environment
141,  61,Reset Environment
142,  52,Reset Environment
143,  67,Reset Environment
144,  61,Reset Environment
145,  42,Reset Environment
146,  55,Reset Environment
147,  50,Start planning path
148,  59,Start planning path
149,  62,Start planning path
150,  61,Start planning path
151,  61,Start planning path
152,  59,Start planning path
153,  60,Start planning path
154,  61,Start planning path
155,  59,Start planning path
156,  63,Start planning path
157,  60,Start planning path
158,  60,Start planning path
159,  60,Start planning path
160,  62,Start planning path
161,  59,Start planning path
162,  63,Start planning path
163,  63,Path end reached
164,  57,Path end reached
165,  60,Path end reached
166,  54,Path end reached
167,  60,Path end reached
168,  61,Path end reached
169,  60,Path end reached
170,  59,Path end reached
171,  24,Path end reached
172,  59,Path end reached
173,  61,Path end reached
174,  61,Path end reached
175,  52,Path end reached
176,  39,Path end reached
177,  42,Reset Environment
178,  60,Start planning path
179,  61,Start planning path
180,  61,Start planning path
181,  59,Start planning path
182,  61,Start planning path
183,  63,Start planning path
184,  59,Start planning path
185,  59,Start planning path
186,  52,Start planning path
187,  57,Start planning path
188,  59,Start planning path
189,  60,Start planning path
190,  59,Start planning path
191,  61,Start planning path
192,  59,Start planning path
193,  62,Start planning path
194,  59,Start planning path
195,  52,Start planning path
196,  54,Start planning path
197,  62,Start planning path
198,  63,Start planning path
199,  60,Start planning path
200,  61,Start planning path
201,  56,Start planning path
202,  62,Start planning path
203,  61,Start planning path
204,  54,Start planning path
205,  62,Start planning path
206,  60,Start planning path
207,  49,Start planning path
208,  61,Start planning path
209,  50,Start planning path
210,  59,Start planning path
211,  60,Start planning path
212,  31,Start planning path
213,  61,Start planning path
214,  59,Start planning path
215,  57,Start planning path
216,  59,Start planning path
217,  59,Start planning path
218,  58,Start planning path
219,  61,Start planning path
220,  38,Start planning path
221,  44,Start planning path
222,  61,Start planning path
223,  60,Start planning path
224,  30,Start planning path
225,  57,Start planning path
226,  53,Start planning path
227,  61,Start planning path
228,  59,Start planning path
229,  61,Start planning path
230,  60,Start planning path
231,  64,Start planning path
232,  46,Start planning path
233,  54,Start planning path
234,  45,Start executing path
235,  60,Start executing path
236,  60,Start executing path
237,  56,Start executing path
238,  63,Start executing path
239,  61,Path end reached
240,  54,Path end reached
241,  62,Path end reached
242,  61,Path end reached
243,  61,Path end reached
244,  62,Path end reached
245,  67,Path end reached
246,  60,Path end reached
247,  60,Path end reached
248,  60,Path end reached
249,  59,Path end reached
250,  60,Path end reached
251,  60,Path end reached
252,  59,Path end reached
253,  60,Path end reached
254,  59,Path end reached
255,  62,Path end reached
256,  64,Path end reached
257,  58,Path end reached
258,  59,Path end reached
259,  60,Path end reached
260,  59,Path end reached
261,  60,Path end reached
262,  62,Path end reached
263,  48,Reset Environment
264,  60,Reset Environment
265,  59,Reset Environment
266,  60,Reset Environment
267,  59,Start planning path
268,  60,Start planning path
269,  60,Start planning path
270,  59,Start planning path
271,  61,Start planning path
272,  59,Start planning path
273,  60,Start planning path
274,  61,Start planning path
275,  60,Start planning path
276,  60,Start planning path
277,  60,Start planning path
278,  60,Start planning path
279,  60,Start planning path
280,  59,Start planning path
281,  43,Start planning path
282,  43,Start planning path
283,  40,Path end reached
284,  42,Path end reached
285,  62,Start executing path
286,  60,Start executing path
287,  61,Start executing path
288,  61,Start executing path
289,  58,Path end reached
290,  59,Path end reached
291,  60,Path end reached
292,  60,Path end reached
293,  60,Path end reached
294,  60,Path end reached
295,  60,Path end reached
296,  61,Path end reached
297,  60,Path end reached
298,  60,Path end reached
299,  60,Path end reached
300,  59,Path end reached
301,  58,Path end reached
302,  60,Path end reached
303,  60,Path end reached
